outcome_id,cesi_measure,effect,beta,standard_error,p,n,n_states,p_holm,source,outcome,native_unit,higher_value_interpretation
LPA,practice_cesi,Within state,0.034513815332184374,0.009990901216466041,5.623215946501986e-4,2116,38,0.015182683055555363,CDC PLACES 2024,Physical Inactivity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
LPA,practice_cesi,Between states,0.025424056325533753,0.06805347444109106,0.7109373685210633,2116,38,1,CDC PLACES 2024,Physical Inactivity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
LPA,meaning_cesi,Within state,-0.02434696446338666,0.01122063408012438,0.03017430637656213,1540,39,0.3620916765187456,CDC PLACES 2024,Physical Inactivity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
LPA,meaning_cesi,Between states,0.10248516012696657,0.0695330602914134,0.14897582196355183,1540,39,1,CDC PLACES 2024,Physical Inactivity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
SLEEP,practice_cesi,Within state,-0.048471113192206546,0.01234696815686691,8.927257995103122e-5,2116,38,0.0027674499784819677,CDC PLACES 2024,Short Sleep Duration,Age-adjusted percentage of adults,Worse health / higher risk prevalence
SLEEP,practice_cesi,Between states,0.161805614615027,0.07679826684867527,0.04190030125574863,2116,38,1,CDC PLACES 2024,Short Sleep Duration,Age-adjusted percentage of adults,Worse health / higher risk prevalence
SLEEP,meaning_cesi,Within state,0.08259771129127526,0.015438252389731694,1.0130568287005008e-7,1540,39,3.0391704861015024e-6,CDC PLACES 2024,Short Sleep Duration,Age-adjusted percentage of adults,Worse health / higher risk prevalence
SLEEP,meaning_cesi,Between states,0.11155172090442712,0.08073089091286684,0.17480920639260356,1540,39,1,CDC PLACES 2024,Short Sleep Duration,Age-adjusted percentage of adults,Worse health / higher risk prevalence
GHLTH,practice_cesi,Within state,0.0156307493540536,0.009291119807785584,0.09265447016952612,2116,38,1,CDC PLACES 2024,General Health,Age-adjusted percentage of adults,Worse health / higher risk prevalence
GHLTH,practice_cesi,Between states,0.04253348840569165,0.04751850698458195,0.3764974915018817,2116,38,1,CDC PLACES 2024,General Health,Age-adjusted percentage of adults,Worse health / higher risk prevalence
GHLTH,meaning_cesi,Within state,-0.059553630480328225,0.01042064384277191,1.3179497151398682e-8,1540,39,4.217439088447578e-7,CDC PLACES 2024,General Health,Age-adjusted percentage of adults,Worse health / higher risk prevalence
GHLTH,meaning_cesi,Between states,-0.019574560324461046,0.04821909531814007,0.6870319563949759,1540,39,1,CDC PLACES 2024,General Health,Age-adjusted percentage of adults,Worse health / higher risk prevalence
