county_fips,pop_total,pop_density,area_land,median_income
16043,13519,7.25284,1863.95966,67015
16045,19250,34.38916,559.7694754,65204
16047,15520,21.28004,729.3219768,60938
16049,16787,1.980183,8477.498849,54745
16051,31383,28.69485,1093.680558,77491
16053,24474,40.95771,597.5431917,67347
16055,173396,140.0862,1237.780858,71949
16057,39872,37.06034,1075.867125,62258
16059,8043,1.762388,4563.694596,49216
16061,3630,7.581113,478.821505,46484
16063,5203,4.330912,1201.363651,62250
16065,52487,111.8489,469.2671256,53025
16067,21626,28.56818,756.9961498,63594
16069,42200,49.74535,848.3204216,65023
16071,4572,3.813333,1198.951211,67383
16073,12043,1.570511,7668.203782,58440
16075,25571,62.84446,406.8934744,62721
16077,7918,5.6403,1403.825995,56671
16079,13399,5.080334,2637.424841,44807
16081,11813,26.30425,449.0908715,88906
16083,90592,47.14125,1921.713923,61183
16085,11830,3.227726,3665.118572,72878
16087,10612,7.304252,1452.852396,50046
17001,65583,76.69188,855.1492285,63767
17003,5261,22.34976,235.3940543,40365
17005,16750,44.03996,380.336366,58617
17007,53459,190.4214,280.7405378,80502
17009,6334,20.71785,305.7267478,64760
17011,33203,38.20514,869.0714428,64165
17013,4472,17.61813,253.8294262,88059
17015,15594,35.01072,445.4064806,61539
17017,12955,34.47735,375.7539448,64826
17019,206525,207.3327,996.1042723,61090
17021,33893,47.77139,709.4831698,56933
17023,15467,30.84917,501.3748635,65874
17025,13248,28.28649,468.3508588,58028
17027,36998,78.06452,473.9412723,78054
17029,47076,92.61972,508.2718715,53732
17031,5225367,5529.932,944.9242977,78304
17033,18729,42.21633,443.6434825,64163
17035,10447,30.19856,345.9436692,71274
17037,100686,159.4806,631.337078,68617
17039,15535,39.07576,397.5610451,61823
17041,19714,47.31585,416.6468231,67177
17043,930559,2838.498,327.8350448,107035
17045,16852,27.03572,623.3235984,56687
17047,6182,27.7968,222.3996713,60784
17049,34594,72.25614,478.7689704,73181
17051,21464,29.95913,716.4427449,51962
17053,13484,27.76789,485.5968877,58930
17055,37810,92.46159,408.9265834,51031
17057,33691,38.91838,865.683529,57223
17059,4967,15.38051,322.9411225,51868
17061,12015,22.1212,543.1440763,58900
17063,52624,125.8563,418.1275774,89993
17065,8008,18.42413,434.647413,60574
17067,17582,22.1506,793.7483324,61026
17069,3665,20.66082,177.3888929,53026
17071,6374,16.82714,378.7927975,64946
17073,49157,59.72458,823.0614567,66313
17075,27043,24.20183,1117.395064,62866
17077,53176,91.12187,583.5701231,44847
17079,9295,18.79244,494.613714,67429
17081,37043,64.84727,571.2345231,58384
17083,21462,58.07522,369.5552072,77607
17085,21942,36.51378,600.9237912,67729
17087,13313,38.73025,343.7364992,63295
17089,517254,995.9382,519.363543,96400
17091,107421,158.7917,676.4901521,65489
17093,132795,414.6758,320.238086,106358
17095,49751,69.44728,716.3851199,50263
17097,713159,1607.643,443.6053294,104553
17099,109495,96.45747,1135.163524,67942
17101,15302,41.11467,372.1786016,55811
17103,34221,47.21645,724.7686646,64588
17105,35771,34.27562,1043.627977,68175
17107,28027,45.34729,618.0523956,62547
17109,27370,46.44312,589.3230332,48904
17111,311133,515.6359,603.3967231,100101
17113,171284,144.7575,1183.247663,75356
17115,103542,178.3437,580.5757,59622
17117,44907,52.03751,862.9735736,64706
17119,265512,371.078,715.5152595,71759
17121,37543,65.57298,572.5376581,59099
17123,11740,30.34985,386.8223637,64940
17125,13074,24.24021,539.3518487,58479
17127,14135,59.60337,237.1510231,57365
17129,12284,39.07234,314.3911771,84846
17131,15692,27.95953,561.2398019,67028
17133,34905,90.5916,385.3006392,100685
17135,28352,40.28612,703.7659418,61796
17137,32882,57.79332,568.9585342,61188
17139,14531,43.25242,335.9580662,72833
17141,51672,68.11014,758.6535845,75782
17143,181186,292.8518,618.6951167,63409
17145,20996,47.51004,441.9276321,56338
17147,16698,38.02015,439.1881723,81151
17149,14776,17.77347,831.3515955,55514
17151,3799,10.2991,368.8673646,57582
17153,5177,25.98014,199.2675673,41038
17155,5628,35.15369,160.0970012,75726
17157,30413,52.85842,575.3671631,63860
17159,15716,43.65142,360.0341376,61607
17161,143819,336.4218,427.4960842,64435
17163,256791,390.417,657.7352482,68915
17165,23662,62.26992,379.9908386,51710
17167,196122,225.8856,868.2360289,71653
17169,6879,15.73061,437.3003859,63737
17171,4899,19.5343,250.7895851,70500
